Autor,Título,Año,Publicado,Editado,Publicación internacional,Sitios,Tema,Período,Etapa,Región,Asunto,Tipo de proyecto,Comentario,Requerido
"Rojas, Ulises","""De dónde le viene el nombre a la ciudad de Tunja"".",1965,,TRUE,FALSE,,Etnohistoria,,Colonial,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Karadimas, Dimitri",¿Cómo llegar a ser un astro? Orfebrería y escatología.,2005,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Tierras bajas orientales,Simbología,Investigación basica,Andes y Tierras bajas orientales.,FALSE
"Celis, Diego Martínez",¿De qué se ríe el petroglifo? A propósito de la interpretación de un petroglifo en el altiplano Cundiboyacense (Colombia).,2000,,FALSE,FALSE,,Materiales Arqueológicos,,,Altiplano Cundiboyacense,Arte rupestre,Investigación básica,,FALSE
"Obregón,  Mauricio",¿Descubridores de Culturas o Constructores de Fábulas? Balance y Perspectivas en Torno a la Problemática Esencialismo-Relativismo en la Arqueología Antioqueña.,1999,,FALSE,FALSE,,,,,,,Investigación básica,,FALSE
"Obregon, Mauricio",¿Descubrimiento de cultural o construcción de fábulas?,2003,,TRUE,FALSE,,Patrimonio,,,,,Investigación basica,,FALSE
"Llanos Vargas, Héctor",¿Hacia dónde se dirige la investigación arqueológica en Colombia?,2006,,TRUE,FALSE,,Teoría arqueológica,,,,,,,FALSE
"Rozo, José",¿Paleoindio o comunidad primitiva?,1983,,TRUE,FALSE,,Teoría arqueológica,,Paleoindio,,,Investigación básica,,FALSE
"Jaramillo, Luis Gonzalo; Liliana Villegas &  Amanda Rueda",¿Qué y cómo preservar?  Reflexiones en Torno a la Conformación y el Manejo de las Colecciones de Referencia Cerámicas.,1999,,FALSE,FALSE,,Materiales Arqueológicos,,,,,Política,,FALSE
"Langebaek, Carl",¿Quien vive aqui? Vivienda y cambio social en Colombia prehispanica: un ensayo preliminar.,1997,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,,,Investigación básica,,FALSE
"Legast, Anne",¿Relatos de chamanes o de ancestros míticos?,2005,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,,Investigación basica,,FALSE
"Sevilla Casas, Elías",“Los animales mágicos de Tierradentro” ¿magia de quién?,2007,,FALSE,TRUE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Rodríguez, Carlos Armando",50 años de investigación arqueológica en el Valle del Cauca.,1986,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,Resumen de las investigaciones arqueológicas realizadas en el Departamento.,FALSE
"Cardale, Marianne",A brief survey of prehistoric salt production in Colombia.,1975,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Clark, R. M.",A calibration curve for Radiocarbon dates.,1975,,TRUE,FALSE,,Materiales Arqueológicos,,,,,Investigación básica,Curva para calibrar dataciones empleada por Cardale (1981).,FALSE
"Archila, Sonia",A critical review of the environmental and archaeological information from a part of the Caribbean lowlands of Colombia.,1991,,FALSE,FALSE,"Puerto Chacho, Puerto Hormiga,Rotinet,Cueyes, Canapote, Barlovento, La Aguada, La Isla, Las Caracuchas, Marta, Los Jagueyes, Mina de oro, Palmira, El Estorbo, Tasajeras, Cangarú, Cecilio, Loma de López, San Jacinto 1, San Jacinto 2, El Pozón, Malambo.",Síntesis datos,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,Paleoecología -Cambios de caza-recolección a agricultura,FALSE
"Bright, A.L",A golsmith's blowpipe from Colombia.,1972,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,,Orfebreria,Investigación básica,,FALSE
"Shuler-Schomig, Von  Immina",A grave lot of the Sonso period.,1981,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bray, Warwick",A new synthesis of colombian archaeology.,1987,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Schreve-Brinkman, Elizabeth J.",A palynological study of the upper quaternary sequence in the El Abra corridor and rock shelters (Colombia).,1978,,TRUE,FALSE,El Abra,Arqueología sitio/localidad,,Paleoindio,Altiplano Cundiboyacense,Palinología,Investigación básica,,FALSE
"Monsalve, José",A pollen core from the hacienda Lusitania.,1985,,TRUE,FALSE,"Lusitania,",Materiales Arqueológicos,,,Valles alto Calima y alto y medio del Cauca,Palinología,Investigación básica,Informe de sitio(s),FALSE
"Reichel-Dolmatoff, Gerardo",A preliminary study of space and time perspective in Northern Colombia.,1954,,FALSE,FALSE,,,,,,,Investigación básica,Archivo en pdf 7-0121,FALSE
"Bruhns, Karen, Oscar Osorio & Ole Christiansen","A projectile point from the departament of Quindío, Colombia.",1976,,TRUE,FALSE,,Arqueología sitio/localidad,,,Valles alto Calima y alto y medio del Cauca,Líticos,Investigación básica,,FALSE
"Jaramilllo, Jaime",A Propósito de algunas piezas inéditas de orfebrería Chibcha.,1946,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,Orfebrería,Investigación básica,,FALSE
"Bruhns, Karen",A Quimbaya gold furnace?,1970,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,Orfebrería,Investigación básica,,FALSE
"Edit, Robert",Aboriginal Chibcha settlement in Colombia.,1959,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Becerra, José Virgilio",Abrigos naturales de la región de Ventaquemada -Puente Boyacá-. Utilización Prehistórica.,1985,,FALSE,FALSE,,Arqueología sitio/localidad,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Politis, Gustavo",Acerca de la arqueología en Colombia.,2004,,FALSE,FALSE,,Teoría arqueológica,,,,,,,FALSE
"Rodríguez, José Vicente",Acerca de la supuesta debilidad mental y física de los Muiscas como posible causa de su conquista y su posterior extinción.,1988,,TRUE,FALSE,Arco629. Soacha. Problemas de nutrición en los Muiscas que resultan en enfermedad.,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,Osteología,Investigación básica,Cita,FALSE
"Ardila, Gerardo",Acercamiento a la historia prehispánica de la Guajira.,1990,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Peninsula de la Guajira y corredor del Cesar,,Investigación básica,,FALSE
Obregón et al.,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",1998,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,,,,"Fuente Franz. Tiene fechas sin sitios, o por lo menos  nombres para los sitios.",FALSE
"Pino, Salazar Jorge Iván","Acercamiento arqueológico al estudio de las expresiones rupestres en un contexto de cavernas en el Departamento de Antioquia, Colombia.",2008,,TRUE,FALSE,,Materiales Arqueológicos,,,Macizo Antioqueño,Arte rupestre,Investigación básica,,FALSE
"Bolian, Charles",Achaeological excavations in the Trapecio of Amazonas. The polychrome tradition.,1975,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Correal, Gonzalo","Aclaraciones a la reseña: evidencias de cazadores, recolectores y plantadores en la altiplanicie de la Cordillera Oriental.",1990,,TRUE,FALSE,,Arqueología sitio/localidad,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Bray, Warwick",Across the Darien gap: a colombian view of isthmian archaeology.,1984,,TRUE,FALSE,,Arqueología sitio/localidad,,,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Patiño Contreras, Alejandro",Actividades domésticas en una unidad residencial prehispánica de la Sabana de Bogotá (Colombia).,2002,,TRUE,TRUE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación basica,,FALSE
"Gainette Prates, Luís Enrique",Adaptación humana y ocupación de los ambientes amazónicos por poblaciones indígenas precolombinas,2016,,FALSE,FALSE,,Síntesis datos,,,Tierras bajas orientales,,Investigación básica,,FALSE
"Herrera Leonor, Mariane Cardale y Warwick Bray",Adaptaciones agrícolas en el valle medio del río Cauca.,2002,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Gnecco, Cristóbal & Héctor, Salgado",Adaptaciones precerámicas en el suroccidente de Colombia.,1990,,TRUE,FALSE,El Recreo,Arqueología sitio/localidad,,Paleoindio,Valles alto Calima y alto y medio del Cauca,,Investigación básica,archivo PDF 11-0014,FALSE
"Sutherland, Donald & N. Carson","Adaptaciones prehistóricas al ambiente litoral en la isla de Salamanca, costa norte de Colombia.",1979,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Mora, Santiago","Adaptation, environmental transformation and co-evolution: a case study from the colombian tropical rainforest, Amazonia.",1999,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,Resumen original en 1670,FALSE
"Herrera, Luisa Fernanda;  Inés, Cavelier & Santiago, Mora",Adecuación agrícola prehispánica.Informe parcial.,1991,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Botero, Pedro",Adecuación prehispánica del paisaje y los suelos.,1987,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Romano, Francisco","Agregación y Dispersión Poblacional: Familia Compuesta o Nuclear en Cacicazgos del Periodo Clásico Regional en San Agustín, Colombia?",1999,,FALSE,FALSE,,,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Mora, Santiago & Inés Cavelier",Agricultores del pie de monte: Los Guayupe,1989,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Rodríguez, Camilo",Agricultores prehispánicos de la hoya del Quindío.,1988,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Rodríguez, Camilo",Agricultores prehispánicos en la hoya del Quindío.,1987,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Herrera, Luisa Fernanda",Agricultura aborígen en la Sierra Nevada de Santa Marta.,1985,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,Palinología - Agricultura,Investigación básica,,FALSE
"Herrera, Luisa Fernanda",Agricultura aborígen y cambios de vegetación en la Sierra Nevada de Santa Marta.,1985,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Sierra Nevada,Palinología - Agricultura,Investigación básica,,FALSE
"Sánchez, Carlos",Agricultura Intensiva y Delimitación Territorial.,1999,,FALSE,FALSE,,,,,,,Investigación básica,,FALSE
"Sanchez, Carlos","Agricultura intensiva, dinámica de población y acceso diferencial a la tierra en el Alto Magdalena.",2000,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,Alto Magdalena,Agricultura,Investigación básica,,FALSE
"Patiño, Diogenes.","Agricultura prehispánica y sociedades complejas en Tumaco, Colombia.",1999,,TRUE,FALSE,,,,,Costa Pacífica,,Investigación básica,,FALSE
"Reichel-Dolmatoff, Gerardo",Agricultural bases of the subandean chiefdoms of Colombia.,1961,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,,,,,FALSE
"Broadbent, Sylvia",Agricultural terraces in Chibcha territory Colombia.,1964,,TRUE,FALSE,,Arqueología sitio/localidad,Muisca,Cacicazgos,Altiplano Cundiboyacense,Agricultura - Campos elevados,Investigación básica,,FALSE
"Cavelier, Inés et al",Agroforesteria y caciques en selvas húmedas Andinas: arqueología del río La Miel.,1995,,FALSE,FALSE,"Matecaña, Sismógrafo, El Bosque, Cancha Fútbol. Los Achiles;",Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Rescate arqueológico,,FALSE
"Correal, Gonzalo",Aguazuque 1. Una estación y complejo funerario precerámico en la Sabana de Bogotá.,1986,,TRUE,FALSE,Aguazuque,Arqueología sitio/localidad,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Correal, Gonzalo","Aguazuque: evidencias de cazadores, recolectores y plantadores en la altiplanicie de la Cordillera Oriental.",1989,,TRUE,FALSE,Aguazuque,Arqueología sitio/localidad,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Langebaek, Carl",Aguilas y caricuries. Venezuela y su coparticipación en el área orfebre de Colombia y el itsmo en el siglo XVI.,1990,,TRUE,FALSE,,Materiales Arqueológicos,,Colonial,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Salgado, Héctor & David M. Stemper",Alfareria prehispánica temprana entre la bahía de Buenaventura y el bajo río San Juan.,1991,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Costa Pacífica,,Investigación básica,,FALSE
"Baquero, Alvaro",Algunas consideraciones sobre el estado de la investigación arqueológica de la Orinoquia Colombiana.,1982,,FALSE,FALSE,,Síntesis datos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Correal, Gonzalo",Algunas enfermedades precolombinas.,1985,,TRUE,FALSE,,Síntesis datos,,,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Herrera, Leonor",Algunas reflexiones en torno a la diversidad cultural y el medio ambiente prehispánico,1993,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,,,Investigación básica,Diversidad cultural y medio ambiente,FALSE
"Botero, Sofía & Norberto Vélez",Algunas reflexiones sobre el registro cerámico arqueológico en Antioquia.,1995,,TRUE,FALSE,El Tiestero,Materiales Arqueológicos,,Cacicazgos,Macizo Antioqueño,,Investigación básica,,FALSE
"Villate, Germán",Algunos apuntes para un estudio de la organización económica de los Muíscas.,1987,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Politis, Gustavo & J. Rodríguez",Algunos aspectos de la subsistencia de los Nukak de la Amazonía Colombiana.,1994,,TRUE,FALSE,,Etnoarqueología,,Republicana,Tierras bajas orientales,,Investigación básica,,FALSE
"Rodríguez, José Vicente",Algunos aspectos metodológicos-bioantroplógicos relacionados con el poblamiento de América.,1987,,TRUE,FALSE,,Síntesis datos,,Paleoindio,,Osteología,Investigación básica,,FALSE
"Langebaek, Carl",Algunos comentarios sobre cambios diacronicos en el intercambio prehispánico en el norte del Ecuador y sur de Colombia: revisión de la evidencia.,1995,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,,,Investigación básica,,FALSE
"Wassen, Henry",Algunos datos del comercio precolombino en Colombia.,1955,,TRUE,FALSE,,Síntesis datos,,,,,Investigación básica,,FALSE
"Nachtigal, Horst",Alt-Kolumbien Vorgeschichtliche Indianer kulturen.,1961,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
