Contador,Autor,Año,Título,Publicado,Area
5900,"Abad, Inés Lucía",1955,Los Ansermas.,"Tesis Pontificia Universidad Católica Javeriana. Facultad de Filosofia, letras y pedagogía. Tesis No 66. Escuela Tipográfica Salesiana. Bogotá.",Arqueología Colombiana
12987,"Aceituno Bocanegra, Francisco Javier & Nicolás Loaiza Díaz",2010,Estructura interna y movilidad en el valle del rio San Eugenio en la Cordillera Central de Colombia.,"Revista de Arqueologia del Área Intermedia, 8: 83-120.",Arqueología Colombiana
12438,"Aceituno Bocanegra, Francisco Javier & Sneider Rojas Mora",2012,Del Paleoindio al Formativo: 10.000 años para la historia de la tecnología lítica en Colombia.,"Boletín de Antropología, 26(43): 124-156",Arqueología Colombiana
5129,Aceituno Francisco Javier,1999,"Artefactos de piedra, conducta y evolución en el valle medio del río Porce.",Segunda Jornada Arqueológica. Universidad de Antioquia. Septiembre 2. Inédito.,Arqueología Colombiana
12993,Aceituno Francisco Javier,2002,Interacciones fitoculturales en el Cauca Medio durante el Holoceno temprano y medio.,"Arqueología, Arqueología del Área Intermedia, 4: 89-113.",Arqueología Colombiana
8941,Aceituno Francisco Javier,2003,De la arqueología temprana de los bosques premontanos de la cordillera central colombiana.,"Construyendo el pasado. Cincuenta años de arqueología en Antioquia, ed., Sofía Botero, pp 157-183. Boletín de Antropología, Universidad de Antioquia, edición especial.",Arqueología Colombiana
9822,Aceituno Francisco Javier,1997,"Arqueología de rescate, su contexto de descubrimiento; por qué; para qué; para quien.","VIII Congeso de antropología en Colombia. Univetrsidad Nacional de Colombia. Departamento de antropología. Santafé de Bogotá 5, 6 y 7 de Diciembre de 1997. http://www.colciencias.gov.co/seiaal/congreso/Ponen18/ACEITUNO.htm",Arqueología Colombiana
6072,Aceituno Francisco Javier,1999,Organización tecnológica y medio ambiente en el Valle Medio del Río Porce.,"Ponencia presentada a: I Congreso de arqueología en Colombia: La Arqueología Colombiana Ante los Nuevos Paradigmas del Siglo XXI. Sociedad Colombiana de Arqueología - Universidad de Caldas Manizales, 28 al 30 de octubre de 1999.",Arqueología Colombiana
35559,Aceituno Francisco Javier &  Nicolás Loaiza,2018,The origins and early development of plant food production and farming in Colombian tropical forests.,"Journal of Anthropological Archaeology, 49: 161–172.",Arqueología Colombiana
5994,Aceituno Francisco Javier & Neyla Castillo,2005,Mobility strategies in Colombia's middle mountain range between the early and middle Holocene.,"Before Farming, pp 1-17. http://www.waspress.co.uk/journals/beforefarming/journal_20052/editorial/index.php",Arqueología Colombiana
