Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
A 01,630,Alto Magdalena,Segovia,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,222,C-14,Carbón,1320,,,,Tumba,,,"""Un conjunto de hipogeos en la parte central del Parque arqueológico de Tierradentro"" (Drennan 1993: 100). Revisar referencia!!!",TRUE,FALSE
A 02,2630,Alto Magdalena,Alto del Lavapatas,,Formativo,"Duque & Cubillos, 1988",Arqueología de San Agustín. Alto de Lavapatas.,106,C-14,Carbón,-680,,Nivel III,160,,,Formativo Inferior,Falta la desviación estándar y el contexto estratigráfico detallado para la muestra datada. Trinchera 1,TRUE,FALSE
A 04,870,Alto Magdalena,Quinchana,,Cacicazgos,"Llanos, & Durán, 1983","Asentamientos prehispánicos de Quinchana, San Agustín.",96,C-14,Carbón,1080,110,,,Habitación,,Reciente,Es la terraza A.Q XXX.,TRUE,FALSE
A 05,1935,Alto Magdalena,La Gaitana,,Cacicazgos,"Llanos, & Durán, 1983","Asentamientos prehispánicos de Quinchana, San Agustín.",96,C-14,Carbón,15,90,,,,,Clásico Regional,,FALSE,FALSE
A 06,320,Tierras bajas orientales,Irique,,Colonial,"Mora, & Cavelier, 1985",Mirray: arqueología del Departamento del Meta.,103,C-14,Carbón,1630,70,,,,,,"Discutida en Mora (1985, 1989).",TRUE,FALSE
A 07,1800,Valles alto Calima y alto y medio del Cauca,El Dorado,,Cacicazgos,"Bray, et al. 1985",Report on the 1982 field season in Calima.,23,,Carbón,150,90,,,,,Sonso,,TRUE,FALSE
A 08,6825,Altiplano Cundiboyacense,Nemocón 4,,Paleoindio,"Correal, 1979",Investigaciones aruqeológicas en los abrigos rocosos de Nemocón y Sueva.,44,C-14,Carbón,-4875,40,,,Habitación,,,"""Piso de habitación consistente en una línea de ceniza"" en la parte media de la Cuadrícula A (Correal 1979: 44). Sitio Nemocón 4",TRUE,FALSE
A 11,1670,Tierras bajas orientales,Angosturas,,Cacicazgos,"López, 1993",Prospección Arqueológica fisiográfica en la llanura aluvial del río Guayabero.,220,C-14,Carbón,280,40,90-100,90-100,,,,I Sitio 2 Perfil 7 (YE-6),TRUE,FALSE
A 12,6420,Tierras bajas orientales,Puerto Nuevo,,Formativo,"López, 1993",Prospección Arqueológica fisiográfica en la llanura aluvial del río Guayabero.,220,C-14,Carbón,-4470,45,30-40,30-40,,,,Sitio 6 Perfil 2 (YE-4),TRUE,FALSE
A 13,1460,Macizo Antioqueño,Corte Montículo,,Cacicazgos,"Girón, 1985",Arqueología de Buritica un asentamiento minero prehispánico.,,C-14,Carbón,490,,,,,,Tradición de túmulos,"Ver nombre del sitio. La tesis es de Girón, Jesús Mario y la datación se dice asociada a túmulos funerarios en Piazzini 1993; Arqueología en Antioquia: antecedentes, actualidad y perspectivas. Actualidad Arqueológica. 2 (2): 4-27; y Castillo, Neyla, 1988; Complejos arqueológicos y grupos étnicos del siglo XVI en el occidente de Antioquia. Boletín del Museo del Oro.  20:16-34.",TRUE,FALSE
A 14,670,Macizo Antioqueño,Yolombó,,Cacicazgos,"Piazzini, 1994, cita a Castillo, 1992","Arqueología en Antioquia: antecedentes, actualidad y perspectivas.",22-23,C-14,Carbón,1280,70,,,,,Ferrería,Yacimiento 07,TRUE,FALSE
A 15,730,Macizo Antioqueño,Yolombó,,Cacicazgos,"Piazzini, 1994, cita a Castillo, 1992","Arqueología en Antioquia: antecedentes, actualidad y perspectivas.",22-23,C-14,Carbón,1220,,,,,,La Picardía, Yacimiento 072,TRUE,FALSE
A 16,1000,Sierra Nevada,Tigrera,,Cacicazgos,"Langebaek, 1987","La cronología de la región tairona vista desde Papare, municipio de Ciénaga.
Relaciones de los desarrollos del área Tairona y el intercambio.",92,TL,Cerámica,950,20%,,70-80,,,,La datación no concuerda con lo esperado para el contexto cerámico (período Malamboide) (Langebaek 1987: 92).  Corte 1,TRUE,FALSE
A 17,780,Altiplano Cundiboyacense,UPTC,,Cacicazgos,"Castillo, 1984",Arqueología de Tunja.,213,C-14,Carbón,1170,,Unidad 4,,,,Muisca,No es claro el contexto en el que se obtuvo la muestra.  Pozos VII y IX,TRUE,FALSE
A 19,630,Alto Magdalena,Aguabonita,,Cacicazgos,"Chaves, & Puerta, 1978",Excavaciones arqueológicas en Tierradentro y la hoya del río de la Plata.,51,C-14,Carbón,1320,180,,,Tumba,,,"Para Drennan (1993: 90), Chaves y Puerta (1978: 51) no presentan asociaciones cerámicas claras.",TRUE,FALSE
A 20,1380,Alto Magdalena,Llanadas,,Cacicazgos,"Ordoñez, 1995","Arqueología de San Agustín: exploraciones en la confluencia de los ríos Naranjos y Granadillos, Alto Narajos.",X,C-14,Carbón,570,60,,,Tumba,,,"Para el autor es formativo regional. Sale de la Tumba 18, de cerad de un pequeño nicho.",TRUE,FALSE
A 22,2150,Alto Magdalena,Buenavista (Huila).,,Cacicazgos,Moreno 1995,Arqueología de San Agustín: patrones de poblamiento prehispánico en Tarqui-Huila.,"38, 39",,,-200, 50,5,56,Habitación,,,"Corte 12,  Formativo Superior. Aparece en otras páginas una de 2100 y 2120 ± 50 AP (Moreno 1995:45, 48, 60, 103) que parece ser la misma.",FALSE,FALSE
A 23,1760,Valles alto Calima y alto y medio del Cauca,El Antojo (Risaralda),,Cacicazgos,"Múnera, & Monsalve, s.f.","Ocupaciones Tempranas en el Area Quimbaya., Ms. Inédito. 8 pgs.",5,,,190,,,,,,,Este Título no esta en la bibliografía.,FALSE,FALSE
A 24,1170,Valles alto Calima y alto y medio del Cauca,Dardanelos,,Cacicazgos,Rodríguez 1996,Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,X,,,780,110,,,Tumba,,,"Dardanelos, Tumba 4, 243 objetos cerámicos completos y desarticulados. Una nariguera de oro.",FALSE,FALSE
A 25,880,Valles alto Calima y alto y medio del Cauca,Dardanelos,,Cacicazgos,Rodríguez 1996,Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,X,,,780,60,,,Tumba,,,"Tumba 5, Entierro colectivo. Huesos desarticulados de unos 15 individuos de diferente edad y sexo. 155 objetos cerámicos.",FALSE,FALSE
A 26,970,Valles alto Calima y alto y medio del Cauca,Dardanelos,,Cacicazgos,Rodríguez 1996,Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,X,,,780,50,,,Tumba,,,"Tumba 3, Individuo infantil. 54 objetos cerámicos.",FALSE,FALSE
