Sitio,Región,Referencia,Latitud,Longitud,Cacicazgos,Formativo,Colonial,Paleoindio,Republicano,Total
"El Abra","Altiplano Cundiboyacense","Correal; Van Der Hammen & Hurt 1977; Hurt 1967-69, Hurt et al. 1976.",5.017358,-73.9512035.017358,2,0,1,8,0,11
"Abeja","Tierras bajas orientales","Herrera et al. 1987; 1989; 1992; 1992; Mora et al 1991;1988; 1990. Llanos 1995; 1997; Mora 2001",-0.577491,-72.399477,6,2,0,0,0,8
"Acacías A-2","Tierras bajas orientales","Mora, & Cavelier, 1983; 1987",3.939958,-73.826519,0,0,0,0,0,0
"Agualinda","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1983",3.830738888,-76.5157305,1,0,0,0,0,1
"Aguazuque I","Altiplano Cundiboyacense","Correal, 1990",4.612809874,-74.28007692,0,3,0,0,0,3
"Almacafé","Valles alto Calima y alto y medio del Cauca","Cardale; Bray &  Herrera 1989; Rodríguez 1988-1990",3.910,-76.320,1,0,0,0,0,1
"Alto de Las Piedras","Alto Magdalena","Duque, & Cubillos, 1993",1.975570129,-76.17684079,2,1,0,0,0,3
"Alto de los Idolos","Alto Magdalena","Reichel-Dolmatoff, 1972; Duque, & Cubillos, 1979",1.917688391,-76.24445204,5,0,0,0,0,5
"Alto de Mira","Sierra Nevada","Ardila, 1984-85; 1986",11.0114416,-73.878972,2,0,0,0,0,2
"Alto del Lavapatas","Alto Magdalena","Duque & Cubillos, 1988",1.880913659,-76.30548952,2,3,0,0,0,5
"Angosturas","Tierras bajas orientales","López, 1993",2.18,-73.7,1,0,0,0,0,1
"Araracuara 15","Tierras bajas orientales","Herrera, et al. 1980-1981; Cavelier, et al 1990",-0.619749126,-72.3922765,6,0,0,0,0,6
"Araracuara 21","Tierras bajas orientales","Herrera, et al. 1980-1981; Cavelier, et al 1990",-0.607633894,-72.39236336,1,0,0,0,0,1
"Araracuara 22","Tierras bajas orientales","Herrera, et al. 1980-1981; Cavelier, et al 1990",-0.609803452,-72.39371102,1,0,0,0,0,1
"Araracuara 25","Tierras bajas orientales","Andrade, 1986; Cavelier, et al 1990",-0.5989527,-72.3995472,0,1,0,0,0,1
"Araracuara 26","Tierras bajas orientales","Andrade, 1986; Cavelier, et al 1990",-0.5917194,-72.4031361,1,0,0,0,0,1
"Araracuara 7","Tierras bajas orientales","Herrera, et al. 1980-1981",-0.613419064,-72.39721446,0,0,1,0,0,1
"Arboledas","Valles alto Calima y alto y medio del Cauca","Gähwiler, 1988",3.673610658,-76.57370732,1,0,0,0,0,1
"Armenia","Valles alto Calima y alto y medio del Cauca","Correal, 1980",6.120,-75.800,1,0,0,0,0,1
